serial no.,state,district,Murder with Rape/Gang Rape,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),"Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19)
Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52)
",Kidnapping & Abduction (Sec. 336 IPC),Kidnapping & Abduction in order to Murder (Sec. 364 IPC),Kidnapping for Ransom (Sec. 364A IPC),K&A of Women to compel her for marriage (Total) (Col.15+Col.16),Women (Above 18 yrs),Girls (Below 18 yrs),Procuration of Minor Girls (Sec. 366A IPC),"Kidnapping and Abduction of Women – Others (Secs.363A, 365, 367, 368, 369 IPC)",Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),"Rape (Col.24+Col.25) 

",Women (18 Yrs. And above),Girls (Below 18 yrs).1,"Attempt to Commit Rape (Col.27+Col.28)
",Women (18 Yrs. And above).1,Girls (Below 18 yrs).2,"Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31)
",Women (18 Yrs. And above).2,Girls (Below 18 yrs).3,"Insult to the Modesty of Women (Col.33+Col.34)
",Women (18 Yrs. And above).3,Girls (Below 18 yrs).4,"Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41)
","Procuring, inducing Children for the sake of prostitution (Section 5)",Detaining a person in premises where prostitution is carried on (Section 6),Prostitution in or in the vicinity of public places (Section 7),Seducing or soliciting for purpose of prostitution (Section 8),Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC),Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC),Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC),"Indecent Representation of Women (Prohibition) Act, 1986",total crimes,Latitude,Longitude,weighted_crimes,normalized_crimes,safety_score
718,Telangana,Vikarabad,1,0,0,45,44,0,0,1,1,0,0,0,0,0,0,18,18,0,1,1,0,59,59,0,4,4,0,0,0,0,0,0,43,10,0,0,309,17.2702855,77.74529701,274,0.039322617680826635,96.06773823191733
719,Telangana,Wanaparthy,0,0,0,26,8,0,0,18,0,18,0,0,0,0,0,7,7,0,0,0,0,32,28,4,11,11,0,0,0,0,0,0,25,0,0,0,195,16.2852944,77.98644727,48,0.006888633754305396,99.31113662456946
720,Telangana,Railway Police Secunderabad,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,22,17.434145,78.4692318,24,0.003444316877152698,99.65556831228473
721,Telangana,Mulug,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,0,35,35,0,6,6,0,0,0,0,0,0,21,5,0,0,156,18.1585442,79.94821824,96,0.013777267508610792,98.62227324913893
722,Telangana,Narayanpet,1,0,0,27,23,0,0,4,0,4,0,0,0,0,0,6,6,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,39,3,4,0,199,16.7477612,77.4949954,148,0.02123995407577497,97.8760045924225
723,Tripura,Dhalai,1,0,0,6,2,1,0,1,0,1,0,2,0,0,0,8,8,0,1,1,0,9,9,0,0,0,0,0,0,0,0,0,6,3,0,0,59,23.8253158,91.97322267,32,0.004592422502870264,99.54075774971297
724,Tripura,Gomati,0,0,0,10,4,0,0,1,0,1,4,1,0,0,0,11,11,0,0,0,0,7,7,0,1,1,0,0,0,0,0,0,15,7,1,0,82,23.4987407,91.2999111,60,0.008610792192881746,99.13892078071183
725,Tripura,GRP,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23.2236194,87.926521,0,0.0,100.0
726,Tripura,Kowai,1,0,0,5,0,0,0,5,0,5,0,0,0,0,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,8,3,0,0,43,7.01616,-9.24483,10,0.0014351320321469576,99.8564867967853
727,Tripura,North,1,0,0,11,4,0,0,3,0,3,3,1,1,0,0,10,10,0,1,1,0,23,23,0,0,0,0,0,0,0,0,0,14,4,0,0,113,40.2340936,-75.2731376,61,0.00875430539609644,99.12456946039036
728,Tripura,Sipahijala,0,0,0,13,11,0,0,1,1,0,0,1,0,0,0,7,7,0,1,1,0,7,7,0,0,0,0,0,0,0,0,0,1,2,0,0,60,23.53074455,91.30156539,66,0.00947187141216992,99.05281285878301
729,Tripura,South,0,0,0,11,2,0,0,4,0,4,5,0,0,0,0,5,5,0,1,1,0,14,14,0,0,0,0,0,0,0,0,0,8,2,0,0,76,18.2612839,-73.8444985,57,0.008180252583237659,99.18197474167624
730,Tripura,Unakoti,0,0,0,14,4,0,1,2,2,0,6,1,0,0,0,7,7,0,3,3,0,11,11,0,0,0,0,0,0,0,0,0,12,8,0,0,92,24.19098485,92.04604831,87,0.01248564867967853,98.75143513203216
731,Tripura,West,2,0,0,22,8,0,1,4,2,2,9,0,0,0,0,9,9,0,1,1,0,13,13,0,1,1,0,0,0,0,0,0,14,7,4,0,123,5.5211184,10.6528684,158,0.02267508610792193,97.73249138920781
732,Uttar Pradesh,Agra,0,2,0,222,222,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,328,328,0,4,4,0,8,0,0,0,0,78,0,0,0,1392,27.1752554,78.0098161,1350,0.19374282433983928,80.62571756601608
733,Uttar Pradesh,Aligarh,1,4,0,526,325,0,0,201,201,0,0,0,0,0,0,57,57,0,0,0,0,598,598,0,0,0,0,0,0,0,0,0,74,182,0,0,2824,27.8761073,78.13581531,1996,0.2864523536165327,71.35476463834674
734,Uttar Pradesh,Prayagraj,0,0,0,338,0,0,0,338,239,99,0,0,0,0,0,106,106,0,0,0,0,375,218,157,0,0,0,0,0,0,0,0,79,0,0,3,2058,25.4381302,81.8338005,21,0.003013777267508611,99.69862227324914
735,Uttar Pradesh,Ambedkar Nagar,0,0,0,174,19,0,0,155,60,95,0,0,0,0,0,66,46,20,0,0,0,128,98,30,0,0,0,1,0,0,1,0,20,0,0,0,913,26.40459405,82.60651543,120,0.017221584385763492,98.27784156142366
736,Uttar Pradesh,Amethi,0,0,0,20,0,0,0,20,20,0,0,0,0,0,0,35,35,0,1,1,0,47,47,0,0,0,0,0,0,0,0,0,22,28,0,0,276,26.34627405,81.62520391,0,0.0,100.0
737,Uttar Pradesh,Auraiya,0,0,0,129,0,0,0,129,125,4,0,0,0,0,0,14,14,0,0,0,0,92,92,0,0,0,0,0,0,0,0,0,51,84,3,0,737,26.65582145,79.51607567,0,0.0,100.0
738,Uttar Pradesh,Azamgarh,1,0,0,243,72,0,0,171,171,0,0,0,0,0,0,77,77,0,0,0,0,298,223,75,0,0,0,0,0,0,0,0,94,87,1,0,1590,26.023639,83.02931046,442,0.06343283582089553,93.65671641791045
739,Uttar Pradesh,Badaun,1,0,1,105,0,0,0,105,105,0,0,0,0,0,0,61,61,0,3,3,0,208,208,0,0,0,0,1,0,0,0,0,127,106,3,0,1098,28.0649367,79.04383199,18,0.0025832376578645237,99.74167623421354
740,Uttar Pradesh,Baghpat,0,0,0,275,0,0,0,275,172,103,0,0,0,0,0,26,26,0,34,20,14,71,33,38,0,0,0,0,0,0,0,0,51,47,4,0,1189,28.97024845,77.33416718,0,0.0,100.0
741,Uttar Pradesh,Bahraich,0,0,0,462,142,0,0,320,320,0,0,0,0,0,0,40,40,0,7,7,0,323,323,0,19,19,0,0,0,0,0,0,50,124,0,0,2196,27.73438225,81.47653998,852,0.12227324913892078,87.77267508610792
742,Uttar Pradesh,Ballia,1,0,0,171,36,0,0,135,135,0,0,0,0,0,0,30,30,0,4,4,0,94,94,0,3,3,0,0,0,0,0,0,28,55,0,0,823,25.87495945,84.12103293,226,0.03243398392652124,96.75660160734787
743,Uttar Pradesh,Balrampur,0,0,0,193,40,0,0,153,52,101,0,0,0,0,0,65,32,33,0,0,0,98,64,34,0,0,0,0,0,0,0,0,30,35,1,0,931,23.6282576,83.48109162,240,0.034443168771526984,96.5556831228473
744,Uttar Pradesh,Banda,0,0,0,198,160,0,0,38,38,0,0,0,0,0,0,34,34,0,4,3,1,148,148,0,1,1,0,0,0,0,0,0,34,99,3,0,944,47.1220366,17.7795783,960,0.13777267508610794,86.22273249138921
745,Uttar Pradesh,Barabanki,0,0,0,394,115,0,0,279,93,186,0,0,0,0,0,23,23,0,0,0,0,101,101,0,0,0,0,0,0,0,0,0,48,121,1,0,1485,26.9421406,81.3856087,690,0.09902411021814007,90.097588978186
746,Uttar Pradesh,Bareilly,1,1,0,416,256,0,0,160,160,0,0,0,2,0,0,27,27,0,0,0,0,335,335,0,0,0,0,1,1,0,0,0,77,130,3,0,1932,28.45823445,79.40474518,1563,0.22431113662456947,77.56888633754305
747,Uttar Pradesh,Basti,1,0,0,210,0,0,0,210,71,139,0,0,0,0,0,85,56,29,0,0,0,69,69,0,2,2,0,0,0,0,0,0,29,57,0,0,1029,27.25,83.0,10,0.0014351320321469576,99.8564867967853
748,Uttar Pradesh,Bijnor,0,0,0,17,0,0,0,17,17,0,0,0,0,0,0,27,27,0,15,15,0,114,114,0,0,0,0,0,0,0,0,0,59,53,2,0,477,29.4074203,78.48214063,0,0.0,100.0
749,Uttar Pradesh,Bulandshahar,0,0,0,140,64,5,0,71,71,0,0,0,0,0,0,49,49,0,9,9,0,96,83,13,4,4,0,0,0,0,0,0,110,118,5,0,900,28.5246712,77.5996529,434,0.06228473019517796,93.77152698048221
750,Uttar Pradesh,Chandoli,0,0,0,37,0,0,0,37,25,12,0,0,0,0,0,20,20,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,46,26,0,0,319,27.0281652,77.5118494,0,0.0,100.0
751,Uttar Pradesh,Chitrakoot,0,0,0,43,0,0,0,43,43,0,0,0,0,0,0,21,21,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,18,33,0,0,320,25.21713895,81.10459272,0,0.0,100.0
752,Uttar Pradesh,Deoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,20,21,0,0,93,26.4239911,83.76385778,0,0.0,100.0
753,Uttar Pradesh,Etah,0,0,0,47,0,0,0,47,47,0,0,0,0,0,0,11,11,0,0,0,0,99,99,0,6,6,0,0,0,0,0,0,29,30,1,0,433,27.5550357,78.59922214,0,0.0,100.0
754,Uttar Pradesh,Etawah,1,0,0,114,4,0,0,110,91,19,0,0,0,0,0,19,19,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,26,38,1,0,504,26.7155629,79.09170983,34,0.004879448909299655,99.51205510907003
755,Uttar Pradesh,Ayodhya,2,0,0,292,290,2,0,0,0,0,0,0,0,0,0,52,52,0,6,6,0,130,84,46,0,0,0,1,0,0,1,0,24,0,0,0,988,26.6382763,82.05850341,1786,0.2563145809414466,74.36854190585534
756,Uttar Pradesh,Fatehgarh,0,1,0,169,85,0,0,84,50,34,0,0,0,0,0,38,15,23,8,8,0,38,38,0,0,0,0,0,0,0,0,0,23,56,0,0,670,27.3700748,79.620752,519,0.07448335246842709,92.5516647531573
757,Uttar Pradesh,Fatehpur,2,0,0,72,0,0,0,72,72,0,0,0,0,0,0,24,24,0,0,0,0,178,178,0,0,0,0,0,0,0,0,0,36,73,0,0,731,25.8348023,80.91545469,20,0.0028702640642939152,99.71297359357061
758,Uttar Pradesh,Firozabad,0,2,0,627,129,0,0,498,245,253,0,0,2,0,0,133,94,39,1,1,0,421,311,110,0,0,0,0,0,0,0,0,39,110,0,0,3015,27.17839715,78.38936472,792,0.11366245694603903,88.6337543053961
759,Uttar Pradesh,GRP,0,0,0,20,5,0,0,0,0,0,0,15,2,0,0,5,4,1,0,0,0,35,35,0,0,0,0,0,0,0,0,0,2,3,0,0,127,23.2236194,87.926521,30,0.004305396096440873,99.56946039035591
760,Uttar Pradesh,Gautambudh Nagar,0,1,0,428,181,9,0,238,209,29,0,0,0,0,0,29,29,0,2,2,0,79,79,0,2,2,0,0,0,0,0,0,53,20,1,0,1393,28.3693836,77.1878414,1185,0.17006314580941448,82.99368541905855
761,Uttar Pradesh,Ghaziabad,2,2,0,124,0,2,0,113,0,113,0,9,0,0,0,103,103,0,0,0,0,191,190,1,1,1,0,6,0,0,0,0,99,116,4,0,1180,28.7678881,77.46066724,58,0.008323765786452353,99.16762342135476
762,Uttar Pradesh,Ghazipur,0,1,0,152,0,0,0,152,15,137,0,0,0,0,0,25,25,0,0,0,0,261,190,71,0,0,0,0,0,0,0,0,35,73,0,0,1137,25.60348625,83.50758884,9,0.0012916188289322618,99.87083811710677
763,Uttar Pradesh,Gonda,1,0,0,290,289,0,1,0,0,0,0,0,0,0,0,27,27,0,0,0,0,94,94,0,0,0,0,0,0,0,0,0,42,71,1,0,937,27.1103723,81.92389056,1753,0.25157864523536166,74.84213547646384
764,Uttar Pradesh,Gorakhpur,0,0,0,167,30,0,0,137,137,0,0,0,0,0,0,107,33,74,0,0,0,292,178,114,0,0,0,0,0,0,0,0,74,112,2,0,1457,26.6677977,83.36423338,180,0.025832376578645237,97.41676234213547
765,Uttar Pradesh,Hamirpur,0,0,0,63,0,0,0,63,8,55,0,0,0,0,0,17,17,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,24,51,0,0,508,25.75,80.0,0,0.0,100.0
766,Uttar Pradesh,Hapur,0,0,0,241,241,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,80,59,21,0,0,0,0,0,0,0,0,10,22,0,0,724,28.73945915,77.83517038,1446,0.20752009184845005,79.24799081515499
767,Uttar Pradesh,Hardoi,0,0,0,128,47,0,0,81,81,0,0,0,0,0,0,47,19,28,1,0,1,183,112,71,0,0,0,0,0,0,0,0,28,71,0,0,898,27.33699775,80.09982319,282,0.0404707233065442,95.95292766934558
768,Uttar Pradesh,Hathras,0,1,0,206,34,0,0,172,75,97,0,0,0,0,0,41,23,18,1,0,1,158,107,51,1,0,1,0,0,0,0,0,18,51,1,0,1057,27.5724324,78.11162089,213,0.030568312284730195,96.94316877152698
769,Uttar Pradesh,Jalaun,0,0,0,97,97,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0,25,47,1,0,407,26.1048633,79.39191362,582,0.08352468427095293,91.64753157290471
770,Uttar Pradesh,Jaunpur,1,1,0,201,135,0,0,66,66,0,0,0,0,0,0,120,34,86,0,0,0,161,88,73,0,0,0,0,0,0,0,0,86,73,0,0,1191,25.7967065,82.48889924,829,0.11897244546498278,88.10275545350173
771,Uttar Pradesh,Jhansi,0,0,0,85,0,0,0,85,4,81,0,0,0,0,0,43,43,0,0,0,0,112,112,0,0,0,0,0,0,0,0,0,21,45,1,0,632,25.529855,78.65278024,0,0.0,100.0
772,Uttar Pradesh,Kannauj,2,1,0,322,246,1,0,75,75,0,0,0,0,0,0,43,43,0,0,0,0,132,132,0,1,1,0,0,0,0,0,0,28,53,0,0,1155,26.9986675,79.69279463,1515,0.21742250287026407,78.25774971297359
773,Uttar Pradesh,Kanpur Dehat,2,0,0,130,130,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,86,86,0,2,2,0,0,0,0,0,0,22,74,0,0,554,26.45856395,79.85480521,800,0.1148105625717566,88.51894374282435
774,Uttar Pradesh,Kanpur Commissionarate,0,2,0,296,55,0,0,241,168,73,0,0,0,0,0,86,86,0,1,1,0,366,366,0,1,1,0,5,5,0,0,0,118,152,7,0,2030,27.5095318,77.8326149,388,0.05568312284730195,94.4316877152698
775,Uttar Pradesh,Kasganj,0,0,0,195,195,0,0,0,0,0,0,0,0,0,0,50,24,26,0,0,0,199,199,0,0,0,0,0,0,0,0,0,17,35,7,0,947,27.88422635,78.63387554,1170,0.16791044776119404,83.2089552238806
776,Uttar Pradesh,Kaushambi,0,1,0,143,0,0,0,143,0,143,0,0,0,0,0,45,45,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,23,44,0,0,683,25.5342456,81.44935674,9,0.0012916188289322618,99.87083811710677
777,Uttar Pradesh,Khiri,4,0,0,209,0,0,0,209,28,181,0,0,0,0,0,94,94,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0,36,62,1,0,1110,26.2196091,77.58810583,40,0.0057405281285878304,99.42594718714122
778,Uttar Pradesh,Kushi Nagar,0,0,0,423,131,0,0,292,210,82,0,0,0,0,0,21,21,0,0,0,0,89,89,0,0,0,0,0,0,0,0,0,37,54,0,0,1449,12.9991596,77.5698374,786,0.11280137772675086,88.71986222732491
779,Uttar Pradesh,Lalitpur,0,0,0,39,0,0,0,39,39,0,0,0,0,0,0,27,27,0,3,3,0,52,52,0,0,0,0,0,0,0,0,0,18,22,0,0,321,24.6999688,78.51861998,0,0.0,100.0
780,Uttar Pradesh,Lucknow Commissionarate,0,0,0,248,0,0,0,248,192,56,0,0,0,0,0,156,156,0,0,0,0,387,387,0,0,0,0,0,0,0,0,0,162,99,2,0,2093,26.8523128,80.8544198,0,0.0,100.0
781,Uttar Pradesh,Maharajganj,0,0,0,7,0,0,0,6,2,4,0,1,1,0,0,22,22,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,23,42,0,0,178,27.09360245,83.56606806,0,0.0,100.0
782,Uttar Pradesh,Mahoba,0,0,0,49,25,0,0,24,2,22,0,0,0,0,0,13,13,0,0,0,0,61,61,0,0,0,0,0,0,0,0,0,20,41,0,0,331,25.36159385,79.70601097,150,0.021526980482204364,97.84730195177957
783,Uttar Pradesh,Mainpuri,1,0,0,233,42,0,0,191,53,138,0,0,0,0,0,23,23,0,2,2,0,105,105,0,0,0,0,0,0,0,0,0,17,60,0,0,995,27.20930715,79.06253692,262,0.037600459242250285,96.23995407577497
784,Uttar Pradesh,Mathura,17,0,0,396,0,0,0,396,356,40,0,0,0,0,0,87,87,0,0,0,0,354,354,0,2,2,0,0,0,0,0,0,55,115,3,0,2264,27.633333,77.583333,170,0.02439724454649828,97.56027554535017
785,Uttar Pradesh,Mau,0,0,0,142,99,0,0,43,43,0,0,0,0,0,0,46,46,0,0,0,0,83,83,0,0,0,0,0,0,0,0,0,61,43,3,0,692,26.03909045,83.49858462,594,0.08524684270952927,91.47531572904707
786,Uttar Pradesh,Meerut,18,0,0,472,300,0,0,172,172,0,0,0,0,0,0,103,103,0,67,67,0,125,125,0,0,0,0,0,0,0,0,0,68,74,4,0,1870,29.0018557,77.76796715,1980,0.2841561423650976,71.58438576349025
787,Uttar Pradesh,Mirzapur,0,0,0,54,0,0,0,54,15,39,0,0,0,0,0,19,19,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,39,25,0,0,330,24.9316896,82.62801628,0,0.0,100.0
788,Uttar Pradesh,Moradabad,0,0,0,65,0,0,0,65,65,0,0,0,0,0,0,23,20,3,0,0,0,108,108,0,0,0,0,0,0,0,0,0,75,72,1,0,605,28.8796553,78.80953354,0,0.0,100.0
789,Uttar Pradesh,Muzaffarnagar,1,0,0,49,0,0,0,49,27,22,0,0,0,0,0,64,25,39,11,11,0,34,13,21,0,0,0,0,0,0,0,0,44,21,1,0,432,29.44969785,77.74293326,10,0.0014351320321469576,99.8564867967853
790,Uttar Pradesh,Pilibhit,0,0,0,467,50,0,0,417,213,204,0,0,1,0,0,155,155,0,2,2,0,169,169,0,2,2,0,0,0,0,0,0,34,48,1,0,2091,28.4947158,80.10761216,300,0.04305396096440873,95.69460390355913
791,Uttar Pradesh,Pratapgarh,0,0,0,221,0,0,1,220,0,220,0,0,0,0,0,74,74,0,0,0,0,164,164,0,0,0,0,0,0,0,0,0,54,71,1,0,1264,25.75,81.75,9,0.0012916188289322618,99.87083811710677
792,Uttar Pradesh,Raibareilly,0,0,0,292,90,0,0,202,0,202,0,0,0,0,0,30,30,0,0,0,0,69,69,0,0,0,0,0,0,0,0,0,42,73,0,0,1099,26.2362488,81.2006663,540,0.07749712973593571,92.25028702640643
793,Uttar Pradesh,Rampur,0,0,0,173,0,0,0,173,103,70,0,0,0,0,0,109,109,0,4,4,0,80,80,0,0,0,0,0,0,0,0,0,28,31,0,0,964,28.7934728,79.18458064,0,0.0,100.0
794,Uttar Pradesh,Saharanpur,0,0,0,232,142,0,0,90,90,0,0,0,0,0,0,29,29,0,0,0,0,91,91,0,0,0,0,0,0,0,0,0,75,32,3,0,904,29.9856799,77.50406459,852,0.12227324913892078,87.77267508610792
795,Uttar Pradesh,Sambhal,0,2,0,128,22,1,0,104,67,37,0,1,1,0,0,87,87,0,6,6,0,113,113,0,0,0,0,0,0,0,0,0,52,54,2,0,883,28.6187267,78.55089091,160,0.022962112514351322,97.70378874856488
796,Uttar Pradesh,Sant Kabirnagar,1,0,0,101,0,0,0,101,5,96,0,0,0,0,0,42,23,19,0,0,0,127,77,50,0,0,0,0,0,0,0,0,21,49,1,0,713,26.7545734,82.6933168,10,0.0014351320321469576,99.8564867967853
797,Uttar Pradesh,Shahjahanpur,0,1,0,104,69,0,0,35,35,0,0,0,0,0,0,29,29,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,33,55,0,0,650,27.9128583,79.74762538,423,0.0607060849598163,93.92939150401837
798,Uttar Pradesh,Shamli,0,0,0,33,0,0,0,33,33,0,0,0,0,0,0,34,34,0,0,0,0,147,147,0,0,0,0,0,0,0,0,0,42,62,0,0,565,29.4976372,77.34722115,0,0.0,100.0
799,Uttar Pradesh,Shrawasti,0,0,0,105,0,0,0,105,30,75,0,0,1,0,0,41,41,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,10,30,0,0,538,19.1558325,72.8403354,0,0.0,100.0
800,Uttar Pradesh,Sidharthnagar,0,0,0,58,0,0,0,58,8,50,0,0,0,0,0,42,22,20,0,0,0,110,110,0,0,0,0,0,0,0,0,0,20,56,3,0,557,27.250861,82.5359163,0,0.0,100.0
801,Uttar Pradesh,Sitapur,0,0,0,511,241,0,0,270,0,270,0,0,0,0,0,14,14,0,0,0,0,78,78,0,0,0,0,0,0,0,0,0,25,0,2,0,1503,27.50267475,80.83351394,1446,0.20752009184845005,79.24799081515499
802,Uttar Pradesh,Sonbhadra,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,81,38,2,0,447,24.4148159,83.06375167,300,0.04305396096440873,95.69460390355913
803,Uttar Pradesh,Bhadohi,0,0,0,120,50,0,0,70,29,41,0,0,0,0,0,9,9,0,0,0,0,49,39,10,3,3,0,0,0,0,0,0,15,10,0,0,457,25.424304,82.48839229,300,0.04305396096440873,95.69460390355913
804,Uttar Pradesh,Sultanpur,0,0,0,473,105,0,0,368,159,209,0,0,0,0,0,51,51,0,5,5,0,146,146,0,0,0,0,0,0,0,0,0,26,54,0,0,1798,26.26047315,82.23805321,630,0.09041331802525833,90.95866819747417
805,Uttar Pradesh,Unnao,1,0,0,303,82,9,0,202,188,14,0,10,0,0,0,31,31,0,0,0,0,147,147,0,0,0,0,0,0,0,0,0,41,99,0,0,1305,26.5673264,80.61981927,592,0.08495981630309989,91.50401836969002
806,Uttar Pradesh,Varanasi Commissionarate,0,0,0,208,80,0,0,128,128,0,0,0,0,0,0,61,61,0,1,1,0,112,112,0,1,1,0,0,0,0,0,0,43,41,4,0,982,28.2516657,76.8144185,480,0.06888633754305397,93.1113662456946
807,Uttar Pradesh,Lucknow Grameen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0214035,80.865935,0,0.0,100.0
808,Uttar Pradesh,Kanpur Outer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4470792,80.1735687,0,0.0,100.0
809,Uttar Pradesh,Vasanasi Dehat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3564885,82.7770913,0,0.0,100.0
810,Uttarakhand,Almora,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,16,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,15,4,0,0,77,29.70265095,79.43263182,0,0.0,100.0
811,Uttarakhand,Bageshwar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,7,0,0,0,36,30.0087902,79.92801831,10,0.0014351320321469576,99.8564867967853
812,Uttarakhand,Chamoli,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,4,4,0,1,1,0,8,8,0,0,0,0,0,0,0,0,0,4,4,5,0,77,30.49859555,79.61905372,0,0.0,100.0
813,Uttarakhand,Champawat,0,0,0,8,2,0,0,0,0,0,0,6,0,0,0,7,7,0,2,2,0,9,9,0,0,0,0,0,0,0,0,0,3,0,0,0,55,29.235032,80.10230681,12,0.001722158438576349,99.82778415614236
814,Uttarakhand,Dehradun,0,0,0,201,0,0,0,0,0,0,0,201,1,0,0,184,184,0,13,13,0,153,153,0,9,9,0,3,0,3,0,0,108,57,3,0,1295,30.3255646,78.0436813,21,0.003013777267508611,99.69862227324914
815,Uttarakhand,Haridwar,0,1,0,155,77,0,0,0,0,0,0,78,1,0,0,229,229,0,0,0,0,156,156,0,6,6,0,4,4,0,0,0,143,60,0,0,1305,29.9384473,78.1452985,503,0.07218714121699196,92.7812858783008
816,Uttarakhand,Nainital,0,0,0,142,15,0,0,12,4,8,0,115,0,0,0,103,103,0,0,0,0,123,81,42,0,0,0,0,0,0,0,0,73,42,0,0,863,29.29499495,79.41625113,90,0.012916188289322618,98.70838117106774
817,Uttarakhand,Pauri Garhwal,0,0,0,23,4,0,0,2,1,1,0,17,0,0,0,20,20,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,16,1,0,0,159,29.8473168,78.70704792,24,0.003444316877152698,99.65556831228473
818,Uttarakhand,Pithoragarh,0,0,0,36,0,0,0,0,0,0,0,36,0,0,0,17,17,0,0,0,0,32,32,0,1,1,0,0,0,0,0,0,14,2,0,0,188,30.12649745,80.48169891,0,0.0,100.0
819,Uttarakhand,Rudra Prayag,0,0,0,10,6,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30.2853908,78.9694154,36,0.005166475315729047,99.4833524684271
820,Uttarakhand,Tehri Garhwal,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,15,15,0,2,2,0,11,11,0,0,0,0,0,0,0,0,0,9,0,0,0,81,30.5,78.666667,0,0.0,100.0
821,Uttarakhand,Udhamsingh Nagar,0,0,0,80,15,0,1,0,0,0,0,64,0,0,0,247,247,0,0,0,0,154,154,0,0,0,0,1,1,0,0,0,230,0,0,0,1194,29.0439865,78.7382862,107,0.015355912743972445,98.46440872560277
822,Uttarakhand,Uttarkashi,0,0,0,13,5,0,0,0,0,0,0,8,0,0,0,13,13,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,14,0,0,0,76,30.9635733,78.63625207,30,0.004305396096440873,99.56946039035591
823,Uttarakhand,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,23.2236194,87.926521,0,0.0,100.0
824,Uttarakhand,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05453455,76.53512052,0,0.0,100.0
825,West Bengal,Alipurduar,2,0,0,122,119,0,0,1,1,0,0,2,0,1,0,32,32,0,21,21,0,40,40,0,0,0,0,2,0,0,0,0,54,25,5,0,520,26.4851573,89.5246926,743,0.10663030998851894,89.3369690011481
